season_id,season_name,season_year,season_url,candidate_name,gender_raw,age_raw,profession_raw,final_position_raw,final_exit_order,final_exit_order_normalized,departure_day_raw,departure_description_raw,departure_type_normalized,departure_category,departure_model_category,departure_classification_reason,needs_departure_enrichment,departure_is_definitive,returned_to_game,first_exit_order,second_exit_order,returned_after_medical_replacement,same_day_exit_group,exit_order_ambiguity,exit_order_review_required,analysis_exit_order,analysis_exit_rule,all_cause_exit_event,censored_at_end,source_row_number,scraped_at,candidate_name_normalized,candidate_season_key,had_temporary_elimination,first_exit_type,first_exit_model_category,first_exit_description,final_exit_type,final_exit_model_category,final_exit_description,model_exit_order,model_exit_type,model_exit_category,physical_score,physical_score_justification,physical_score_sources,selection_reason,age_missing,gender_missing,physical_score_missing,age,age_source_url,age_source_excerpt,age_confidence,age_review_status,gender_normalized,gender_confidence,gender_review_status,gender_source_url,profession_normalized,profession_confidence,profession_review_status,profession_source_url,profile_documentation_sufficient,external_research_performed,physical_score_confidence,physical_score_reviewer_status,physical_positive_reason,physical_zero_reason,physical_score_based_on_profession_only,explicit_sport_activity,manual_research_required,physical_zero_evidence_basis,manual_research_priority
KL33,Koh-Lanta : Les Armes secrètes,2021,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,Sylviane,F,44 ans,Maître-nageur,"Éliminée [ 17 ] , [ 18 ] , [ 19 ] , [ 20 ]",1,0.0,,"Éliminée [ 17 ] , [ 18 ] , [ 19 ] , [ 20 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé(e) sans précision du mécanisme (conseil, ambassadeurs, etc.)",True,True,False,1,,False,,False,False,1.0,STANDARD,1,False,1,2026-07-20T16:48:52.203864+00:00,sylviane,KL33::sylviane,,,,,,,,,,,1.0,Profession physique directe documentée: Maître-nageur,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,,False,False,True,44.0,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,âge=44 extrait de la source Wikipedia,HIGH,VALIDATED,FEMALE,HIGH,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,Maître-nageur,MEDIUM,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,True,False,MEDIUM,A_REVOIR,DIRECT_PHYSICAL_PROFESSION,,True,False,False,,
KL33,Koh-Lanta : Les Armes secrètes,2021,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,Marie,F,25 ans,Étudiante en événementiel,"Éliminée [ 21 ] , [ 22 ] , [ 23 ] , [ 24 ] , [ 25 ]",2,0.05,,"Éliminée [ 21 ] , [ 22 ] , [ 23 ] , [ 24 ] , [ 25 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé(e) sans précision du mécanisme (conseil, ambassadeurs, etc.)",True,True,False,2,,False,,False,False,2.0,STANDARD,1,False,2,2026-07-20T16:48:52.203864+00:00,marie,KL33::marie,,,,,,,,,,,0.0,Profil documenté sans indicateur physique qualifiant: Étudiante en événementiel,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,,False,False,True,25.0,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,âge=25 extrait de la source Wikipedia,HIGH,VALIDATED,FEMALE,HIGH,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,Étudiante en événementiel,MEDIUM,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,True,False,MEDIUM,VALIDATED,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,False,False,False,ORDINARY_PROFESSION_AND_NO_INTENSIVE_SPORT,
KL33,Koh-Lanta : Les Armes secrètes,2021,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,Élodie,F,35 ans,Coach sportive,"Éliminée [ 26 ] , [ 27 ] , [ 28 ] , [ 29 ] , [ 30 ]",3,0.1,,"Éliminée [ 26 ] , [ 27 ] , [ 28 ] , [ 29 ] , [ 30 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,"Éliminé(e) sans précision du mécanisme (conseil, ambassadeurs, etc.)",True,True,False,3,,False,,False,False,3.0,STANDARD,1,False,3,2026-07-20T16:48:52.203864+00:00,élodie,KL33::élodie,,,,,,,,,,,0.0,Profil documenté sans indicateur physique qualifiant: Coach sportive,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,,False,False,True,35.0,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,âge=35 extrait de la source Wikipedia,HIGH,VALIDATED,FEMALE,HIGH,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,Coach sportive,MEDIUM,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Les_Armes_secr%C3%A8tes,True,False,MEDIUM,VALIDATED,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,False,False,False,ORDINARY_PROFESSION_AND_NO_INTENSIVE_SPORT,
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Célia,F,49 ans,Assistante familiale,Éliminée [ 11 ],1,0.0,,Éliminée [ 11 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,1,,False,,False,False,1.0,STANDARD,1,False,1,2026-07-21T02:53:44.498411+00:00,célia,KL26::célia,,,,,,,,,,,0.0,Profil documenté sans indicateur physique qualifiant: Assistante familiale,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,,False,False,True,49.0,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,âge=49 extrait de la source Wikipedia,HIGH,VALIDATED,FEMALE,HIGH,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Assistante familiale,MEDIUM,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,True,False,MEDIUM,VALIDATED,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,False,False,False,ORDINARY_PROFESSION_AND_NO_INTENSIVE_SPORT,
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Emin,M,56 ans,Directeur général,Éliminé [ 12 ],2,0.052632,,Éliminé [ 12 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,2,,False,,False,False,2.0,STANDARD,1,False,2,2026-07-21T02:53:44.498411+00:00,emin,KL26::emin,,,,,,,,,,,0.0,Profil documenté sans indicateur physique qualifiant: Directeur général,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,,False,False,True,56.0,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,âge=56 extrait de la source Wikipedia,HIGH,VALIDATED,MALE,HIGH,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Directeur général,MEDIUM,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,True,False,MEDIUM,VALIDATED,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,False,False,False,ORDINARY_PROFESSION_AND_NO_INTENSIVE_SPORT,
KL26,Koh-Lanta : Le Feu Sacré,2023,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Alexandre,M,34 ans,Responsable logistique,Éliminé [ 13 ],3,0.105263,,Éliminé [ 13 ],INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,3,,False,,False,False,3.0,STANDARD,1,False,3,2026-07-21T02:53:44.498411+00:00,alexandre,KL26::alexandre,,,,,,,,,,,0.0,Profil documenté sans indicateur physique qualifiant: Responsable logistique,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,,False,False,True,34.0,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,âge=34 extrait de la source Wikipedia,HIGH,VALIDATED,MALE,HIGH,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,Responsable logistique,MEDIUM,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Le_Feu_Sacr%C3%A9,True,False,MEDIUM,VALIDATED,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,False,False,False,ORDINARY_PROFESSION_AND_NO_INTENSIVE_SPORT,
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Cynthiana,F,39 ans,Agent immobilier,"Éliminée [ 6 ] , [ 7 ] , [ 8 ]",1,0.0,,"Éliminée [ 6 ] , [ 7 ] , [ 8 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,1,,False,,False,False,1.0,STANDARD,1,False,1,2026-07-21T02:53:46.576248+00:00,cynthiana,KL29::cynthiana,,,,,,,,,,,0.0,Profil documenté sans indicateur physique qualifiant: Agent immobilier,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,,False,False,True,39.0,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,âge=39 extrait de la source Wikipedia,HIGH,VALIDATED,FEMALE,HIGH,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Agent immobilier,MEDIUM,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,True,False,MEDIUM,VALIDATED,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,False,False,False,ORDINARY_PROFESSION_AND_NO_INTENSIVE_SPORT,
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Allan,M,25 ans,Docker,"Abandon médical [ 9 ] , [ 10 ] , [ 11 ]",2,0.043478,,"Abandon médical [ 9 ] , [ 10 ] , [ 11 ]",ABANDON_MEDICAL,SANTE_ABANDON,AUTRE_SORTIE,Abandon médical dans la source,False,True,False,2,,False,,False,False,2.0,STANDARD,1,False,2,2026-07-21T02:53:46.576248+00:00,allan,KL29::allan,,,,,,,,,,,0.0,Profil documenté sans indicateur physique qualifiant: Docker,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,,False,False,True,25.0,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,âge=25 extrait de la source Wikipedia,HIGH,VALIDATED,MALE,HIGH,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Docker,MEDIUM,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,True,False,MEDIUM,VALIDATED,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,False,False,False,ORDINARY_PROFESSION_AND_NO_INTENSIVE_SPORT,
KL29,Koh-Lanta : La Revanche des 4 Terres,2025,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Christian,M,63 ans,Brocanteur,"Éliminé [ 12 ] , [ 13 ] , [ 14 ]",3,0.086957,,"Éliminé [ 12 ] , [ 13 ] , [ 14 ]",INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé(e) sans précision du mécanisme,True,True,False,3,,False,,False,False,3.0,STANDARD,1,False,3,2026-07-21T02:53:46.576248+00:00,christian,KL29::christian,,,,,,,,,,,0.0,Profil documenté sans indicateur physique qualifiant: Brocanteur,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,,False,False,True,63.0,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,âge=63 extrait de la source Wikipedia,HIGH,VALIDATED,MALE,HIGH,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,Brocanteur,MEDIUM,VALIDATED,https://fr.wikipedia.org/wiki/Koh-Lanta_:_La_Revanche_des_4_Terres,True,False,MEDIUM,VALIDATED,,COMPLETE_PROFILE_NO_QUALIFYING_INDICATOR,False,False,False,ORDINARY_PROFESSION_AND_NO_INTENSIVE_SPORT,
KL15,Koh-Lanta : Malaisie,2012,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Malaisie,Mélanie,,30 ans,,Éliminée,1,0.0,,Éliminée,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Source: https://fr.wikipedia.org/wiki/Koh-Lanta_:_Malaisie,True,True,False,1,,False,,False,False,1.0,STANDARD,1,False,1,2026-07-21T02:14:08.627530,mélanie,KL15::mélanie,,,,,,,,,,,,"Données insuffisantes pour évaluer le profil physique. Recherche manuelle nécessaire: profession, pratique sportive, fréquence, intensité, niveau de compétition, description textuelle d'un gabarit athlétique ou musclé.",,,False,True,True,30.0,https://fr.wikipedia.org/wiki/Koh-Lanta_:_Malaisie,âge=30 extrait de la source Wikipedia,HIGH,VALIDATED,UNKNOWN,UNKNOWN,NOT_FOUND,,,,NOT_FOUND,,False,False,UNKNOWN,INSUFFICIENT_EVIDENCE,,,False,False,True,,HIGH
